;ANO;CODUFMUN;POPULACAO
252;2019;520547;10167
253;2020;520547;10486
254;2021;520547;10797
255;2022;520547;13250
256;2019;520549;71376
257;2020;520549;72890
258;2021;520549;74370
259;2022;520549;84581
260;2019;520551;20240
261;2020;520551;20504
262;2021;520551;20771
263;2022;520551;24018
264;2019;520552;3382
265;2020;520552;3360
266;2021;520552;3339
267;2022;520552;3967
268;2019;520570;2327
269;2020;520570;2290
270;2021;520570;2254
271;2022;520570;2424
272;2019;520580;11110
273;2020;520580;11169
274;2021;520580;11223
275;2022;520580;9801
276;2019;520590;9723
277;2020;520590;9869
278;2021;520590;10012
279;2022;520590;8739
280;2019;520620;58997
281;2020;520620;60210
282;2021;520620;61385
283;2022;520620;58940
284;2019;520630;2966
285;2020;520630;2964
286;2021;520630;2962
287;2022;520630;3682
288;2019;520640;16949
289;2020;520640;17044
290;2021;520640;17136
291;2022;520640;20227
292;2019;520650;3486
293;2020;520650;3472
294;2021;520650;3458
295;2022;520650;3926
296;2019;520660;2854
297;2020;520660;2837
298;2021;520660;2820
299;2022;520660;2915
300;2019;520670;3311
301;2020;520670;3306
302;2021;520670;3302
303;2022;520670;3790
304;2019;520680;2938
305;2020;520680;2953
306;2021;520680;2944
307;2022;520680;2724
308;2019;520690;2094
309;2020;520690;2094
310;2021;520690;2094
311;2022;520690;1798
312;2019;520710;2484
313;2020;520710;2479
314;2021;520710;2477
315;2022;520710;2071
316;2019;520725;7322
317;2020;520725;7247
318;2021;520725;7174
319;2022;520725;6853
320;2019;520735;3699
321;2020;520735;3688
322;2021;520735;3678
323;2022;520735;3900
324;2019;520740;12372
325;2020;520740;12467
326;2021;520740;12559
327;2022;520740;12666
328;2019;520750;3275
329;2020;520750;3264
330;2021;520750;3253
331;2022;520750;3186
332;2019;520753;6627
333;2020;520753;6576
334;2021;520753;6527
335;2022;520753;7054
336;2019;520760;5637
337;2020;520760;5553
338;2021;520760;5471
339;2022;520760;5871
340;2019;520780;13292
341;2020;520780;13449
342;2021;520780;13604
343;2022;520780;9904
