ano,sigla_uf,id_municipio,populacao
2019,GO,5206305,2966
2020,GO,5206305,2964
2021,GO,5206305,2962
2019,GO,5206404,16949
2020,GO,5206404,17044
2021,GO,5206404,17136
2019,GO,5206503,3486
2020,GO,5206503,3472
2021,GO,5206503,3458
2019,GO,5206602,2854
2020,GO,5206602,2837
2021,GO,5206602,2820
2019,GO,5206701,3311
2020,GO,5206701,3306
2021,GO,5206701,3302
2019,GO,5206800,2938
2020,GO,5206800,2953
2021,GO,5206800,2944
2019,GO,5206909,2094
2020,GO,5206909,2094
2021,GO,5206909,2094
2019,GO,5207105,2484
2020,GO,5207105,2479
2021,GO,5207105,2477
2019,GO,5207253,7322
2020,GO,5207253,7247
2021,GO,5207253,7174
2019,GO,5207352,3699
2020,GO,5207352,3688
2021,GO,5207352,3678
2019,GO,5207402,12372
2020,GO,5207402,12467
2021,GO,5207402,12559
2019,GO,5207501,3275
2020,GO,5207501,3264
2021,GO,5207501,3253
2019,GO,5207535,6627
2020,GO,5207535,6576
2021,GO,5207535,6527
2019,GO,5207600,5637
2020,GO,5207600,5553
2021,GO,5207600,5471
2019,GO,5207808,13292
2020,GO,5207808,13449
2021,GO,5207808,13604
2019,GO,5207907,16557
2020,GO,5207907,17005
2021,GO,5207907,17415
2019,GO,5208004,121617
2020,GO,5208004,123684
2021,GO,5208004,125705
2019,GO,5208103,4248
2020,GO,5208103,4172
2021,GO,5208103,4098
2019,GO,5208152,3818
2020,GO,5208152,3880
2021,GO,5208152,3923
2019,GO,5208301,4804
2020,GO,5208301,4778
2021,GO,5208301,4701
2019,GO,5208400,11231
2020,GO,5208400,11224
2021,GO,5208400,11217
2019,GO,5208509,5600
2020,GO,5208509,5625
2021,GO,5208509,5650
2019,GO,5208608,70084
2020,GO,5208608,71075
2021,GO,5208608,72045
2019,GO,5208707,1516113
2020,GO,5208707,1536097
2021,GO,5208707,1555626
2019,GO,5208806,44289
2020,GO,5208806,45296
2021,GO,5208806,46278
2019,GO,5208905,22645
2020,GO,5208905,22381
2021,GO,5208905,22122
2019,GO,5209101,34095
2020,GO,5209101,34202
2021,GO,5209101,34307
2019,GO,5209150,5898
2020,GO,5209150,5988
2021,GO,5209150,6076
2019,GO,5209200,14209
2020,GO,5209200,14207
2021,GO,5209200,14206
2019,GO,5209291,1996
2020,GO,5209291,1951
2021,GO,5209291,1905
2019,GO,5209408,3893
2020,GO,5209408,3846
2021,GO,5209408,3801
2019,GO,5209457,1794
2020,GO,5209457,1737
2021,GO,5209457,1681
2019,GO,5209606,3724
2020,GO,5209606,3733
2021,GO,5209606,3742
2019,GO,5209705,21706
2020,GO,5209705,22124
2021,GO,5209705,22533
2019,GO,5209804,3564
2020,GO,5209804,3508
2021,GO,5209804,3450
2019,GO,5209903,13947
2020,GO,5209903,14082
2021,GO,5209903,14215
2019,GO,5209937,6194
2020,GO,5209937,6235
2021,GO,5209937,6275
2019,GO,5209952,15611
2020,GO,5209952,15787
2021,GO,5209952,15962
2019,GO,5210000,52866
2020,GO,5210000,53259
2021,GO,5210000,53655
2019,GO,5210109,26985
2020,GO,5210109,27174
2021,GO,5210109,27365
2019,GO,5210158,2893
2020,GO,5210158,2893
2021,GO,5210158,2892
2019,GO,5210208,31531
2020,GO,5210208,31499
2021,GO,5210208,31471
2019,GO,5210307,2800
2020,GO,5210307,2786
2021,GO,5210307,2772
2019,GO,5210406,42900
2020,GO,5210406,43622
2021,GO,5210406,44329
2019,GO,5210562,4676
2020,GO,5210562,4685
2021,GO,5210562,4684
2019,GO,5210604,5237
2020,GO,5210604,5206
2021,GO,5210604,5184
2019,GO,5210802,4539
2020,GO,5210802,4475
2021,GO,5210802,4412
2019,GO,5210901,22981
2020,GO,5210901,23421
2021,GO,5210901,23850
2019,GO,5211008,4997
2020,GO,5211008,4685
2021,GO,5211008,4380
2019,GO,5211206,25768
2020,GO,5211206,25681
2021,GO,5211206,25597
2019,GO,5211305,7178
2020,GO,5211305,7259
2021,GO,5211305,7337
2019,GO,5211404,8938
2020,GO,5211404,8960
2021,GO,5211404,8968
2019,GO,5211503,104742
2020,GO,5211503,105809
2021,GO,5211503,106845
2019,GO,5211602,2370
2020,GO,5211602,2334
2021,GO,5211602,2295
2019,GO,5211701,6048
2020,GO,5211701,6025
2021,GO,5211701,6001
2019,GO,5211800,50511
2020,GO,5211800,51338
2021,GO,5211800,52160
2019,GO,5211909,100882
2020,GO,5211909,102065
2021,GO,5211909,103221
2019,GO,5212006,2879
2020,GO,5212006,2860
2021,GO,5212006,2843
2019,GO,5212055,2490
2020,GO,5212055,2506
2021,GO,5212055,2497
2019,GO,5212105,7387
2020,GO,5212105,7402
2021,GO,5212105,7417
2019,GO,5212204,18478
2020,GO,5212204,18371
2021,GO,5212204,18266
2019,GO,5212253,1588
2020,GO,5212253,1621
2021,GO,5212253,1652
2019,GO,5212303,7647
2020,GO,5212303,7651
2021,GO,5212303,7663
2019,GO,5212501,208299
2020,GO,5212501,211508
2021,GO,5212501,214645
2019,GO,5212600,2368
2020,GO,5212600,2363
2021,GO,5212600,2358
2019,GO,5212709,8882
2020,GO,5212709,9081
2021,GO,5212709,9277
2019,GO,5212808,9503
2020,GO,5212808,9363
2021,GO,5212808,9234
2019,GO,5212907,2236
2020,GO,5212907,2250
2021,GO,5212907,2263
2019,GO,5212956,4351
2020,GO,5212956,4336
2021,GO,5212956,4321
2019,GO,5213004,14080
2020,GO,5213004,14327
2021,GO,5213004,14568
2019,GO,5213053,2597
2020,GO,5213053,2583
2021,GO,5213053,2575
2019,GO,5213087,29070
2020,GO,5213087,28793
2021,GO,5213087,28518
2019,GO,5213103,66801
2020,GO,5213103,68154
2021,GO,5213103,69477
2019,GO,5213400,1529
2020,GO,5213400,1501
2021,GO,5213400,1471
2019,GO,5213509,8606
2020,GO,5213509,8684
2021,GO,5213509,8759
2019,GO,5213707,8055
2020,GO,5213707,8047
2021,GO,5213707,8037
2019,GO,5213756,13396
2020,GO,5213756,13672
2021,GO,5213756,13935
2019,GO,5213772,4479
2020,GO,5213772,4509
2021,GO,5213772,4538
2019,GO,5213806,46136
2020,GO,5213806,46548
2021,GO,5213806,46955
2019,GO,5213855,2248
2020,GO,5213855,2232
2021,GO,5213855,2217
2019,GO,5213905,4290
2020,GO,5213905,4206
2021,GO,5213905,4120
2019,GO,5214002,15659
2020,GO,5214002,15870
2021,GO,5214002,16077
2019,GO,5214051,4887
2020,GO,5214051,4713
2021,GO,5214051,4540
2019,GO,5214101,3778
2020,GO,5214101,3764
2021,GO,5214101,3749
2019,GO,5214408,9142
2020,GO,5214408,9260
2021,GO,5214408,9375
2019,GO,5214507,29850
2020,GO,5214507,30395
2021,GO,5214507,30931
2019,GO,5214606,46388
2020,GO,5214606,46730
2021,GO,5214606,47064
2019,GO,5214705,2352
2020,GO,5214705,2357
2021,GO,5214705,2362
2019,GO,5214804,2210
2020,GO,5214804,2222
2021,GO,5214804,2236
2019,GO,5214838,12869
2020,GO,5214838,12945
